n_particles,w,c1,c2,penalty_method,rho,C,alpha,best_position,objective_value,inequality_0,inequality_1,violated
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.6113837203777766, 0.4653804591973777]",-0.3649035689004442,9.350426741150386e-05,-12.923235820424846,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.5854591704964465, 0.4697417751193812]",-0.3675639837328556,0.0052435948716975656,-12.944799054384173,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.5627078610784366, 0.46808452720940685]",-0.3736950567790515,0.01852062968067658,-12.969207611712157,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.5973905999543423, 0.46779974656553136]",-0.36643465378710155,0.0027410821751965297,-12.934809653480126,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.6371519103179262, 0.4605701135506023]",-0.3614712826193049,-0.00402324123471276,-12.902277976131472,False
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.6039018151566902, 0.46721834624159875]",-0.36530249681677524,0.0006276463885928063,-12.928879838601711,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.305630431734821, 0.1166855308753234]",-0.640032630288567,0.5976518199460448,-13.577684037389856,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.5640516558781787, 0.4541254337601423]",-0.3856720381981015,0.03972436335105323,-12.981822910361679,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[0.4019748225791342, 1.6571407795814164]",-0.29639279626009346,0.08387112913911199,-12.940884397839449,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.6501529174660408, 0.46227574989230397]",-0.35591469724610747,-0.012825677358587195,-12.887571332641656,False
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.5988362745754943, 0.4684647306446854]",-0.36551064940355177,0.0010015952860388255,-12.93269899477982,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.4704186820702057, 0.44885180528169866]",-0.4012665087392676,0.08999992003285207,-13.080729512648096,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.5933865794288327, 0.45955721434361607]",-0.37447605864235434,0.017747702185182734,-12.94705620622755,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.7543705994344716, 0.057389171792442406]",-0.5284651883099394,0.649318124281445,-13.188240228773086,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.249650332401293, 0.12355531973426648]",-0.6209609583784547,0.5955990536241258,-13.62679434786444,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.551639327060573, 0.4766930066401071]",-0.3680614552494323,0.010344383962462955,-12.97166766629932,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.734537810130593, 0.14413451653986886]",-0.5198019897882048,0.49999323131670415,-13.121327673329539,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.6021045633487148, 0.4680494516898616]",-0.3650502925331701,0.00013583757480883918,-12.929845984961425,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.6718090750310666, 0.44352933478947953]",-0.36352845772789294,0.008503633056455961,-12.884661590179455,True
50,0.7,1.5,2.0,ADAPTIVE,NA,0.5,1.5,"[1.992483315484881, 0.46177308668396716]",-0.1916845208583545,-0.17007517075775824,-12.545743597831152,False
